Quarter,Start Date,End Date,Conference Name,Category,Region,Location,Priority ,Status,Attendees,Speaker,Side Events,Notes,Unnamed: 13
Q1,,,CES,Tech,North America,,,,,,,,
Q1,,,Peer Summit,Web3,North America,,,,,,,,
Q1,,,St. Moritz ,Web3,Europe,,,,,,,Nicolo ,
Q1,,,Crypto Ball ,Web3,North America,,,,,,,,
Q1,01/19,01/22,Web3 Hub Davos,Web3,Europe,"Obere Strasse 33, Davos Platz",,Confirmed,,,,,
Q1,01/19,01/23,Davos,Traditional Finance,Europe,"Kongresszentrum Davos, Davos",,Confirmed,"2,500 persons",,,,
Q1,,,iConnections,Web3,North America,,,,,,,,
Q1,,,Crypto Peaks,Web3,North America,,,,,,,,
Q1,,,RWA Summit Miami,Web3,North America,,,,,,,,
Q1,02/24,02/27,Orion,Fintech,North America,"San Diego Marriott Marquis, San Diego",,Confirmed,2000+,"Natalie Wolfsen, Reed Colley, Ron Pruitt",,,
Q1,,,DeFi Retreat,Web3,North America,,,,,,,,
Q1,,,Digital Assets Forum,Web3,Europe,,,,,,,,
Q1,,,Pantera Lunar New Year ,Web3,North America,,,,,,,,
Q1,,,Solana Apex,Web3,North America,,,,,,,,
Q1,02/09,02/11,Trade Tech,Traditional Finance,North America,"JW Marriott Marquis, Miami",,Confirmed,700+,"Yan Pu, Yudhveer Chaudhry, Collin Crownover, Jens Nordvig",,,
Q1,,,A Very Stable Conference,Web3,North America,,,,,,,,
Q1,,,Smart Summit,Tech,LatAm,,,,,,,,
Q1,,,Sporting Crypto,Web3,Europe,,,,,,,,
Q1,02/10,02/12,Consensus Hong Kong,Web3,APAC,"Hong Kong Convention and Exhibition Centre, Hong Kong",,Confirmed,"15,000","Representatives from Binance, Circle, Coinbase, Google",,,
Q1,,,Penn Blockchain ,Web3,North America,,,,,,,,
Q1,,,Eth Denver,Web3,North America,,,,,,,,
Q1,,,Bitcoin Investor Week,Web3,North America,,,,,,,Anthony Pompliano,
Q1,,,Stablecoin Day,Web3,North America,,,,,,,Circle's Event,
Q1,,,Innovate Denver,Web3,North America,,,,,,,,
Q1,,,RWA Summt Denver,Web3,North America,,,,,,,,
Q1,,,Digital Assets Week | Hong Kong,Web3,APAC,,,,,,,,
Q1,02/23,02/25,Florida Venture Capital Conference,Traditional Finance,North America,"Loews Coral Gables, Miami",,Confirmed,,,,,
Q1,,,T3,Fintech,North America,,,,,,,,
Q1,,,Bloomberg Invest,Traditional Finance,North America,,,,,,,,
Q1,,,Fintech Meetup,Fintech,North America,,,,,,,,
Q1,,,Web3 Amsterdam,Web3,Europe,,,,,,,,
Q1,03/09,03/13,Game Developers Conferece ,Gaming,North America,"Moscone Center, San Francisco",,Confirmed,,Fawzi Mesmar,,,
Q1,,,Digital Asset Summit,Web3,North America,,,,,,,Blockworks,
